ts,price,volume
1704067200000,2305.74,12588.31
1704070800000,2288.2,10124.52
1704074400000,2302.51,8168.24
1704078000000,2296.24,5869.41
1704081600000,2317.44,11038.84
1704085200000,2318.58,9352.58
1704088800000,2311.88,6785.21
1704092400000,2306.01,7695.91
1704096000000,2297.58,10594.01
1704099600000,2304.11,6438.41
1704103200000,2291.63,9155.21
1704106800000,2283,10021.41
1704110400000,2276.1,13311.93
1704114000000,2284.18,8111.91
1704117600000,2280.01,6534.71
1704121200000,2266.69,14801.11
1704124800000,2256.51,21892.31
1704128400000,2263.48,11840.11
1704132000000,2260.11,7890.21
1704135600000,2251.21,11231.41
1704139200000,2246.11,13451.21
1704142800000,2241.11,10121.31
1704146400000,2236.11,12341.51
1704150000000,2231.11,9871.61
